cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034725935 256.667441 0.151 35.438995 0.162 25.380 0.588 25.483 0.550 24.989 0.594 22.540 0.231 23.423 0.520 nan
3 1237655504034727015 256.667451 0.143 35.433439 0.139 25.339 0.651 23.874 0.367 22.680 0.183 21.008 0.066 20.102 0.110 nan
3 1237655504034726009 256.667571 0.086 35.401247 0.076 25.431 0.589 22.758 0.148 21.823 0.086 21.545 0.103 21.788 0.426 nan
3 1237655504034726014 256.667839 0.257 35.399685 0.190 24.584 0.789 25.106 0.636 22.760 0.198 23.207 0.417 22.871 0.641 nan
3 1237655504034661628 256.667942 0.076 35.471071 0.083 24.354 0.667 22.873 0.142 22.387 0.124 21.934 0.128 21.617 0.324 nan
3 1237655504034661964 256.667975 0.159 35.497454 0.153 23.681 0.533 25.349 0.537 23.872 0.418 22.207 0.174 20.883 0.193 nan
6 1237655504034726501 256.667987 0.013 35.379840 0.013 23.909 0.560 21.573 0.050 20.241 0.022 18.843 0.012 18.129 0.020 nan
3 1237655504034726755 256.668401 0.054 35.397766 0.051 25.152 0.610 23.035 0.168 21.930 0.085 21.332 0.075 21.139 0.229 nan
3 1237655504034727024 256.668643 0.141 35.424629 0.165 24.498 0.993 22.927 0.211 22.267 0.162 22.205 0.236 21.377 0.406 nan
3 1237655504034661589 256.668737 0.046 35.482907 0.048 24.856 0.898 22.030 0.088 20.986 0.049 20.510 0.051 20.125 0.128 nan
3 1237655504034661626 256.668976 0.076 35.472562 0.068 23.728 0.637 22.644 0.144 21.697 0.085 21.391 0.102 20.950 0.244 nan
3 1237655504034661961 256.669243 0.195 35.507257 0.144 25.234 0.688 23.669 0.309 23.019 0.247 22.237 0.200 21.470 0.345 nan
6 1237655504034726742 256.669398 0.020 35.406941 0.020 23.939 0.558 22.105 0.075 20.806 0.033 20.363 0.033 20.028 0.088 nan
3 1237655504034661122 256.669401 0.034 35.515549 0.042 21.405 0.142 20.244 0.026 19.693 0.022 19.367 0.027 19.072 0.071 nan
